продавец,продажи_руб,скидки_руб,чеки_штуки,чеки_меньше_5000_шт,чеки_больше_20тыс_шт,чеки_больше_40тыс_шт,чеки_больше_20тыс_руб,скидки_на_чеки_больше_20тыс_руб,чеки_больше_40тыс_руб,скидки_на_чеки_больше_40тыс_руб,скидка_%,средний_чек,скидка_на_чеки_свыше_20тыс_%,скидка_на_чеки_свыше_49тыс_%,проходимость,категория_скидок
Продавец_15,3835956.0,632036.0,230,73,65,20,2620970.0,470581.0,1364516.0,248904.0,16.47662277669504,16678.069565217393,17.954459608465566,18.24119321429723,низкая_проходимость,Очень высокие скидки (Q5)
Продавец_162,5445362.2,894822.0,414,182,77,30,3389066.0,593315.0,2112292.0,370691.0,16.432736099721705,13153.048792270532,17.506740795251552,17.549230882851425,Очень_высокая_проходимость,Очень высокие скидки (Q5)
Продавец_207,5649270.0,387721.5,316,104,82,34,3987846.0,277434.0,2626802.0,171894.0,6.863214185195609,17877.436708860758,6.9569888105007065,6.543850659471098,хорошая_проходимость,выше среднего скидки (Q3)
Продавец_23,3813871.0,497883.0,257,91,63,24,2515565.0,382770.0,1406051.0,236804.0,13.05453173429306,14839.964980544748,15.216064780675515,16.841778854394327,хорошая_проходимость,Высокие скидки (Q4)
Продавец_39,3594390.0,356515.0,279,123,58,16,2191262.0,259034.0,1037392.0,104958.0,9.918651008933367,12883.118279569893,11.821224481600101,10.117486928759813,высокая_проходимость,Средние скидки (Q2)
Продавец_55,3074771.0,380075.0,226,90,44,16,1874682.0,231263.0,1000169.0,94656.0,12.361083150582598,13605.181415929204,12.33611887242743,9.46400058390132,Средняя_проходимость,выше среднего скидки (Q3)
Продавец_56,3835662.5,309059.5,304,149,58,28,2529375.0,224124.0,1703818.0,167581.0,8.057525916318237,12617.310855263158,8.860845070422535,9.835616245397102,Очень_высокая_проходимость,Низкие скидки (Q1)
Продавец_57,3797865.67,442894.33,208,83,58,29,2851019.0,361367.0,2066179.0,276231.0,11.661663905032219,18258.969567307693,12.675011986942211,13.369170822082696,Средняя_проходимость,Высокие скидки (Q4)
Продавец_75,6209146.0,337291.5,207,10,135,44,5288009.0,287324.5,2703223.0,166667.0,5.432172153787333,29995.874396135267,5.433510041302879,6.165492081119464,низкая_проходимость,Средние скидки (Q2)
Продавец_78,2638731.0,182320.0,269,137,35,6,1366960.0,100854.0,571160.0,35040.0,6.909381820276489,9809.408921933085,7.377977409726692,6.134883395195742,Очень_высокая_проходимость,Низкие скидки (Q1)
Продавец_9,5791132.0,1358140.0,227,16,101,33,4385424.0,1065876.0,2413271.0,604482.0,23.45206429416563,25511.59471365639,24.30497028337511,25.048243649387075,низкая_проходимость,Очень высокие скидки (Q5)
Продавец_93,1676882.0,270057.0,202,129,23,7,924761.0,231009.0,465340.0,129540.0,16.104711005306278,8301.39603960396,24.980400341277367,27.837710061460434,высокая_проходимость,Низкие скидки (Q1)
